2026-09-17 00:49:24,006 | INFO | workflow_ai | Connected to FastAPI scuessfully!!
2026-09-17 00:51:02,135 | INFO | workflow_ai | Connected to FastAPI scuessfully!!
2026-09-17 00:51:49,586 | INFO | workflow_ai | Connected to FastAPI scuessfully!!
2026-09-17 00:52:00,945 | INFO | workflow_ai | Started with the Gmail Authentication
2026-09-17 00:52:01,587 | INFO | workflow_ai | Authenticaion completed
2026-09-17 00:52:01,588 | INFO | workflow_ai | Connected to Gmail API successfully
2026-09-17 00:53:27,170 | INFO | main.py | Connected to FastAPI scuessfully!!
2026-09-17 00:53:27,187 | INFO | connect_gmail.py | Started with the Gmail Authentication
2026-09-17 00:53:27,837 | INFO | connect_gmail.py | Authenticaion completed
2026-09-17 00:53:27,839 | INFO | connect_gmail.py | Connected to Gmail API successfully
2026-09-17 01:02:54,512 | INFO | main.py | Connected to FastAPI scuessfully!!
2026-09-17 01:02:54,512 | INFO | connect_gmail.py | Started with the Gmail Authentication
2026-09-17 01:02:55,342 | INFO | connect_gmail.py | Authenticaion completed
2026-09-17 01:02:55,342 | INFO | connect_gmail.py | Connected to Gmail API successfully
2026-09-17 01:13:47,181 | INFO | extract_gmail.py | Starting latest email extraction
2026-09-17 01:13:47,194 | INFO | connect_gmail.py | Connected to Gmail API successfully
2026-09-17 01:13:47,978 | INFO | extract_gmail.py | Latest email identified: message_id=1a0abab3e9e02316
2026-09-17 01:13:48,450 | INFO | extract_gmail.py | Full email retrieved successfully
2026-09-17 01:13:48,450 | INFO | extract_gmail.py | Email content extracted successfully: message_id=1a0abab3e9e02316
2026-09-17 01:21:10,240 | INFO | extract_gmail.py | Starting latest email extraction
2026-09-17 01:21:10,245 | INFO | connect_gmail.py | Started with the Gmail Authentication
2026-09-17 01:21:11,024 | INFO | connect_gmail.py | Authenticaion completed
2026-09-17 01:21:11,024 | INFO | connect_gmail.py | Connected to Gmail API successfully
2026-09-17 01:21:11,515 | INFO | extract_gmail.py | Latest email identified: message_id=1a0abab3e9e02316
2026-09-17 01:21:11,981 | INFO | extract_gmail.py | Full email retrieved successfully
2026-09-17 01:21:11,981 | INFO | extract_gmail.py | Email content extracted successfully: message_id=1a0abab3e9e02316
2026-09-17 01:21:56,158 | INFO | extract_gmail.py | Starting latest email extraction
2026-09-17 01:21:56,162 | INFO | connect_gmail.py | Started with the Gmail Authentication
2026-09-17 01:21:56,675 | INFO | connect_gmail.py | Authenticaion completed
2026-09-17 01:21:56,675 | INFO | connect_gmail.py | Connected to Gmail API successfully
2026-09-17 01:21:57,094 | INFO | extract_gmail.py | Latest email identified: message_id=1a0abab3e9e02316
2026-09-17 01:21:57,482 | INFO | extract_gmail.py | Full email retrieved successfully
2026-09-17 01:21:57,482 | INFO | extract_gmail.py | Email content extracted successfully: message_id=1a0abab3e9e02316
